
ALVARO    | 2.0    | 8.0    | 6.0    | 6.0|     La media es: 3.5

ALBA    | 8.0    | 6.0    | 6.0    | 5.0|     La media es: 4.75

ALEJANDRA    | 6.0    | 6.0    | 5.0    | 2.0|     La media es: 3.25

AARON    | 6.0    | 5.0    | 2.0    | 4.0|     La media es: 3.0

ACERINA    | 5.0    | 2.0    | 4.0    | 3.0|     La media es: 3.0

BRIAN MANUEL    | 2.0    | 4.0    | 3.0    | 8.0|     La media es: 3.25

AIRAN    | 4.0    | 3.0    | 8.0    | 4.0|     La media es: 4.0

BLAS    | 3.0    | 8.0    | 4.0    | 3.0|     La media es: 2.5

ANCOR    | 8.0    | 4.0    | 3.0    | 1.0|     La media es: 3.0

CATHAYSA    | 4.0    | 3.0    | 1.0    | 8.0|     La media es: 3.25
